,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_nmae,split1_test_nmae,split2_test_nmae,split3_test_nmae,split4_test_nmae,mean_test_nmae,std_test_nmae,rank_test_nmae,split0_train_nmae,split1_train_nmae,split2_train_nmae,split3_train_nmae,split4_train_nmae,mean_train_nmae,std_train_nmae,split0_test_nmse,split1_test_nmse,split2_test_nmse,split3_test_nmse,split4_test_nmse,mean_test_nmse,std_test_nmse,rank_test_nmse,split0_train_nmse,split1_train_nmse,split2_train_nmse,split3_train_nmse,split4_train_nmse,mean_train_nmse,std_train_nmse,split0_test_nrmse,split1_test_nrmse,split2_test_nrmse,split3_test_nrmse,split4_test_nrmse,mean_test_nrmse,std_test_nrmse,rank_test_nrmse,split0_train_nrmse,split1_train_nrmse,split2_train_nrmse,split3_train_nrmse,split4_train_nrmse,mean_train_nrmse,std_train_nrmse,param_bridge__alpha_1,param_bridge__alpha_2,param_bridge__lambda_1,param_bridge__lambda_2
bridge_48_MCV,0.1230799674987793,0.045481412133228774,0.011844587326049805,0.0041015174215222345,"{'bridge__alpha_1': 1e-06, 'bridge__alpha_2': 1e-07, 'bridge__lambda_1': 1e-06, 'bridge__lambda_2': 1e-05}",-0.1872951260235289,-0.16254099919739354,-0.1646051220082512,-0.16218480028231533,-0.15629753863602042,-0.16658471722950186,0.010717992328185643,68,-0.15977116491177337,-0.16614104070858232,-0.16570306649924516,-0.16661611815450342,-0.16809303079771215,-0.16526488421436328,0.0028623365263605875,-0.07129889811322981,-0.05000865860386985,-0.05248187355493584,-0.04987393045799523,-0.04669569843172455,-0.05407181183235106,0.008807256968489269,11,-0.04889403287950524,-0.05386480204549072,-0.053232888946595475,-0.05396616384929922,-0.05486257342863525,-0.05296409222990518,0.0021003471786778553,-0.26701853514920987,-0.2236261581386888,-0.22908922618695066,-0.2233247197647301,-0.21609187497850202,-0.23183010284361627,0.01807249976813815,51,-0.22111995133751555,-0.23208791878400462,-0.23072253671151302,-0.23230618555970312,-0.23422761030381378,-0.23009284053931003,0.004623522732380018,1e-06,1e-07,1e-06,1e-05
bridge_49_MCV,0.12058887481689454,0.035389969420926246,0.01006331443786621,0.0012146152049499895,"{'bridge__alpha_1': 1e-06, 'bridge__alpha_2': 1e-07, 'bridge__lambda_1': 1e-06, 'bridge__lambda_2': 1e-06}",-0.18729512602398432,-0.16254099919723797,-0.1646051220080257,-0.16218480028194926,-0.15629753863594242,-0.16658471722942794,0.010717992328426738,44,-0.1597711649117024,-0.16614104070849642,-0.16570306649915204,-0.16661611815440147,-0.1680930307976235,-0.16526488421427515,0.002862336526352577,-0.07129889811365976,-0.05000865860383661,-0.052481873554846216,-0.04987393045776847,-0.046695698431703195,-0.05407181183236285,0.008807256968688962,40,-0.0488940328795053,-0.05386480204549076,-0.05323288894659556,-0.05396616384929931,-0.05486257342863534,-0.052964092229905245,0.002100347178677864,-0.26701853515001495,-0.22362615813861447,-0.22908922618675506,-0.2233247197642224,-0.2160918749784526,-0.2318301028436119,0.01807249976852073,41,-0.22111995133751566,-0.2320879187840047,-0.23072253671151322,-0.2323061855597033,-0.23422761030381398,-0.23009284053931017,0.004623522732380041,1e-06,1e-07,1e-06,1e-06
bridge_50_MCV,0.13624954223632812,0.05257094473104668,0.01107335090637207,0.004665001295637161,"{'bridge__alpha_1': 1e-06, 'bridge__alpha_2': 1e-07, 'bridge__lambda_1': 1e-06, 'bridge__lambda_2': 1e-07}",-0.18729512602402995,-0.16254099919722262,-0.16460512200800367,-0.16218480028191254,-0.15629753863593424,-0.1665847172294206,0.01071799232845093,35,-0.15977116491169527,-0.1661410407084879,-0.16570306649914285,-0.1666161181543912,-0.16809303079761467,-0.16526488421426638,0.002862336526351798,-0.07129889811370282,-0.05000865860383339,-0.05248187355483751,-0.0498739304577457,-0.04669569843170077,-0.054071811832364036,0.008807256968708996,48,-0.048894032879505306,-0.05386480204549078,-0.05323288894659556,-0.05396616384929929,-0.05486257342863535,-0.05296409222990526,0.0021003471786778622,-0.26701853515009555,-0.22362615813860728,-0.22908922618673605,-0.22332471976417143,-0.216091874978447,-0.23183010284361147,0.01807249976855912,31,-0.2211199513375157,-0.23208791878400475,-0.23072253671151322,-0.23230618555970328,-0.23422761030381398,-0.23009284053931017,0.004623522732380032,1e-06,1e-07,1e-06,1e-07
bridge_51_MCV,0.12015247344970703,0.04315842892252508,0.007813119888305664,0.003042728434829353,"{'bridge__alpha_1': 1e-06, 'bridge__alpha_2': 1e-07, 'bridge__lambda_1': 1e-07, 'bridge__lambda_2': 1e-05}",-0.18729512602337442,-0.16254099919744916,-0.1646051220083316,-0.1621848002824468,-0.15629753863604898,-0.1665847172295302,0.010717992328102494,78,-0.15977116491179746,-0.16614104070861296,-0.16570306649927827,-0.16661611815453997,-0.16809303079774482,-0.16526488421439472,0.0028623365263641364,-0.07129889811308397,-0.05000865860388177,-0.05248187355496777,-0.04987393045807665,-0.046695698431732345,-0.05407181183234851,0.008807256968420895,3,-0.048894032879505216,-0.05386480204549068,-0.053232888946595426,-0.05396616384929919,-0.05486257342863525,-0.052964092229905155,0.0021003471786778583,-0.26701853514893675,-0.22362615813871545,-0.22908922618702035,-0.2233247197649124,-0.21609187497852006,-0.23183010284362102,0.01807249976800696,75,-0.2211199513375155,-0.2320879187840045,-0.2307225367115129,-0.23230618555970306,-0.23422761030381378,-0.23009284053930995,0.004623522732380022,1e-06,1e-07,1e-07,1e-05
bridge_52_MCV,0.11494064331054688,0.021717150762844143,0.008731889724731445,0.002343402663702177,"{'bridge__alpha_1': 1e-06, 'bridge__alpha_2': 1e-07, 'bridge__lambda_1': 1e-07, 'bridge__lambda_2': 1e-06}",-0.1872951260238301,-0.16254099919729337,-0.164605122008106,-0.1621848002820807,-0.1562975386359711,-0.16658471722945625,0.010717992328343697,61,-0.15977116491172638,-0.16614104070852703,-0.16570306649918523,-0.16661611815443803,-0.16809303079765614,-0.16526488421430657,0.0028623365263561636,-0.07129889811351417,-0.05000865860384845,-0.05248187355487813,-0.04987393045784987,-0.04669569843171106,-0.05407181183236034,0.008807256968620685,22,-0.048894032879505264,-0.05386480204549073,-0.05323288894659554,-0.05396616384929928,-0.0548625734286353,-0.052964092229905224,0.0021003471786778644,-0.26701853514974233,-0.22362615813864095,-0.2290892261868247,-0.22332471976440466,-0.2160918749784708,-0.23183010284361666,0.018072499768389733,66,-0.22111995133751558,-0.23208791878400464,-0.23072253671151316,-0.23230618555970325,-0.2342276103038139,-0.23009284053931012,0.004623522732380047,1e-06,1e-07,1e-07,1e-06
bridge_53_MCV,0.09700970649719239,0.019322195871785807,0.008650398254394532,0.0008064873261386698,"{'bridge__alpha_1': 1e-06, 'bridge__alpha_2': 1e-07, 'bridge__lambda_1': 1e-07, 'bridge__lambda_2': 1e-07}",-0.18729512602387516,-0.16254099919727819,-0.1646051220080837,-0.16218480028204377,-0.15629753863596307,-0.16658471722944876,0.01071799232836765,50,-0.1597711649117194,-0.16614104070851854,-0.16570306649917596,-0.16661611815442776,-0.1680930307976474,-0.1652648842142978,0.0028623365263553474,-0.07129889811355679,-0.05000865860384525,-0.052481873554869246,-0.04987393045782701,-0.04669569843170873,-0.054071811832361406,0.008807256968640542,28,-0.0488940328795053,-0.05386480204549076,-0.05323288894659553,-0.05396616384929928,-0.0548625734286353,-0.05296409222990524,0.0021003471786778536,-0.2670185351498221,-0.2236261581386338,-0.22908922618680533,-0.22332471976435347,-0.21609187497846544,-0.23183010284361605,0.018072499768427785,46,-0.22111995133751566,-0.2320879187840047,-0.23072253671151313,-0.23230618555970325,-0.2342276103038139,-0.23009284053931012,0.004623522732380018,1e-06,1e-07,1e-07,1e-07
bridge_54_MCV,0.08870716094970703,0.022288524964556605,0.007059526443481445,0.0015751810954924583,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-05, 'bridge__lambda_2': 1e-05}",-0.18729512602508097,-0.16254099919683626,-0.16460512200744346,-0.16218480028099416,-0.15629753863573106,-0.16658471722921717,0.010717992329021358,19,-0.1597711649115315,-0.1661410407082747,-0.16570306649891162,-0.16661611815413555,-0.16809303079738439,-0.16526488421404756,0.0028623365263248826,-0.07129889811469506,-0.050008658603750866,-0.0524818735546149,-0.049873930457176884,-0.046695698431644866,-0.05407181183237651,0.008807256969176398,61,-0.04889403287950544,-0.05386480204549096,-0.05323288894659573,-0.05396616384929949,-0.0548625734286355,-0.052964092229905425,0.002100347178677878,-0.26701853515195356,-0.22362615813842276,-0.2290892261862502,-0.22332471976289792,-0.21609187497831764,-0.2318301028435684,0.018072499769456546,20,-0.221119951337516,-0.23208791878400514,-0.23072253671151358,-0.2323061855597037,-0.2342276103038143,-0.23009284053931056,0.0046235227323800565,1e-07,1e-05,1e-05,1e-05
bridge_55_MCV,0.09278740882873535,0.019088887944819218,0.00732879638671875,0.0009473377165133197,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-05, 'bridge__lambda_2': 1e-06}",-0.18729512602553727,-0.1625409991966806,-0.16460512200721847,-0.16218480028062776,-0.1562975386356528,-0.16658471722914336,0.010717992329262864,11,-0.15977116491146032,-0.16614104070818886,-0.16570306649881864,-0.16661611815403343,-0.16809303079729582,-0.1652648842139594,0.0028623365263169653,-0.07129889811512578,-0.0500086586037176,-0.0524818735545255,-0.04987393045694989,-0.046695698431623286,-0.05407181183238842,0.00880725696937645,71,-0.048894032879505486,-0.053864802045491024,-0.05323288894659579,-0.05396616384929955,-0.05486257342863556,-0.05296409222990548,0.002100347178677883,-0.2670185351527601,-0.22362615813834838,-0.22908922618605507,-0.22332471976238968,-0.2160918749782677,-0.23183010284356417,0.018072499769839826,15,-0.2211199513375161,-0.23208791878400525,-0.2307225367115137,-0.23230618555970384,-0.23422761030381445,-0.23009284053931064,0.004623522732380064,1e-07,1e-05,1e-05,1e-06
bridge_56_MCV,0.09899787902832032,0.0064495021604334905,0.011399269104003906,0.004762480391522535,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-05, 'bridge__lambda_2': 1e-07}",-0.18729512602558243,-0.16254099919666537,-0.16460512200719563,-0.1621848002805917,-0.15629753863564472,-0.16658471722913598,0.010717992329286821,1,-0.15977116491145332,-0.16614104070818037,-0.1657030664988092,-0.1666161181540234,-0.1680930307972871,-0.1652648842139507,0.0028623365263161734,-0.07129889811516843,-0.050008658603714375,-0.05248187355451637,-0.04987393045692755,-0.04669569843162087,-0.054071811832389516,0.008807256969396295,79,-0.0488940328795055,-0.05386480204549103,-0.0532328889465958,-0.053966163849299593,-0.05486257342863558,-0.0529640922299055,0.0021003471786778865,-0.26701853515283996,-0.22362615813834116,-0.22908922618603514,-0.22332471976233967,-0.21609187497826213,-0.2318301028435636,0.018072499769877872,2,-0.22111995133751614,-0.23208791878400528,-0.23072253671151374,-0.23230618555970392,-0.23422761030381448,-0.23009284053931073,0.00462352273238007,1e-07,1e-05,1e-05,1e-07
bridge_57_MCV,0.08852958679199219,0.026445626289337807,0.007811880111694336,0.001360719157727534,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-06, 'bridge__lambda_2': 1e-05}",-0.18729512602353823,-0.16254099919739062,-0.1646051220082467,-0.16218480028230708,-0.15629753863601867,-0.16658471722950027,0.010717992328190644,64,-0.15977116491177193,-0.16614104070858063,-0.16570306649924324,-0.1666161181545011,-0.1680930307977103,-0.16526488421436142,0.002862336526360394,-0.07129889811323861,-0.05000865860386929,-0.05248187355493406,-0.04987393045799013,-0.04669569843172405,-0.054071811832351234,0.008807256968493394,15,-0.048894032879505236,-0.05386480204549071,-0.053232888946595475,-0.05396616384929922,-0.05486257342863527,-0.05296409222990519,0.002100347178677861,-0.2670185351492263,-0.22362615813868755,-0.22908922618694677,-0.22332471976471868,-0.21609187497850088,-0.23183010284361605,0.01807249976814605,46,-0.22111995133751552,-0.2320879187840046,-0.23072253671151302,-0.23230618555970312,-0.2342276103038138,-0.23009284053931003,0.004623522732380032,1e-07,1e-05,1e-06,1e-05
bridge_58_MCV,0.09619126319885254,0.009315730954834595,0.00923924446105957,0.0016727086710871968,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-06, 'bridge__lambda_2': 1e-06}",-0.18729512602399476,-0.16254099919723464,-0.16460512200802127,-0.1621848002819416,-0.15629753863594045,-0.16658471722942653,0.010717992328432192,39,-0.1597711649117008,-0.1661410407084947,-0.16570306649915015,-0.16661611815439936,-0.16809303079762175,-0.16526488421427335,0.0028623365263524873,-0.07129889811366967,-0.0500086586038359,-0.05248187355484447,-0.04987393045776373,-0.046695698431702445,-0.05407181183236324,0.008807256968693543,45,-0.0488940328795053,-0.05386480204549079,-0.053232888946595544,-0.0539661638492993,-0.05486257342863532,-0.05296409222990526,0.002100347178677862,-0.2670185351500335,-0.2236261581386129,-0.22908922618675123,-0.22332471976421178,-0.2160918749784509,-0.23183010284361205,0.01807249976852951,44,-0.22111995133751566,-0.23208791878400475,-0.23072253671151316,-0.2323061855597033,-0.23422761030381392,-0.23009284053931017,0.004623522732380035,1e-07,1e-05,1e-06,1e-06
bridge_59_MCV,0.08897519111633301,0.006150146558773148,0.008028793334960937,0.0017594062909623486,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-06, 'bridge__lambda_2': 1e-07}",-0.18729512602404066,-0.16254099919721898,-0.1646051220079987,-0.162184800281905,-0.15629753863593276,-0.1665847172294192,0.01071799232845643,30,-0.1597711649116936,-0.16614104070848607,-0.16570306649914085,-0.16661611815438912,-0.16809303079761276,-0.16526488421426447,0.0028623365263516893,-0.07129889811371291,-0.05000865860383254,-0.05248187355483551,-0.049873930457741036,-0.04669569843170049,-0.054071811832364494,0.008807256968713586,54,-0.04889403287950531,-0.05386480204549078,-0.053232888946595544,-0.0539661638492993,-0.054862573428635326,-0.05296409222990526,0.002100347178677857,-0.2670185351501145,-0.22362615813860537,-0.2290892261867317,-0.223324719764161,-0.21609187497844634,-0.23183010284361177,0.0180724997685679,39,-0.2211199513375157,-0.23208791878400475,-0.23072253671151316,-0.2323061855597033,-0.23422761030381395,-0.23009284053931017,0.004623522732380029,1e-07,1e-05,1e-06,1e-07
bridge_60_MCV,0.07995848655700684,0.009538070557007373,0.006439399719238281,0.0009610167900173574,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-07, 'bridge__lambda_2': 1e-05}",-0.1872951260233845,-0.16254099919744588,-0.16460512200832675,-0.1621848002824386,-0.1562975386360476,-0.16658471722952867,0.010717992328107755,73,-0.15977116491179588,-0.16614104070861113,-0.1657030664992763,-0.1666161181545377,-0.16809303079774282,-0.16526488421439275,0.002862336526363961,-0.07129889811309349,-0.05000865860388107,-0.05248187355496585,-0.04987393045807158,-0.046695698431732116,-0.05407181183234881,0.008807256968425275,7,-0.048894032879505216,-0.05386480204549068,-0.05323288894659543,-0.053966163849299156,-0.05486257342863523,-0.052964092229905134,0.0021003471786778514,-0.26701853514895457,-0.22362615813871387,-0.22908922618701616,-0.22332471976490104,-0.21609187497851953,-0.23183010284362102,0.01807249976801533,75,-0.2211199513375155,-0.2320879187840045,-0.23072253671151294,-0.23230618555970298,-0.23422761030381373,-0.23009284053930995,0.0046235227323800044,1e-07,1e-05,1e-07,1e-05
bridge_61_MCV,0.08683099746704101,0.01725877410112271,0.009290170669555665,0.0033245817490750486,"{'bridge__alpha_1': 1e-07, 'bridge__alpha_2': 1e-05, 'bridge__lambda_1': 1e-07, 'bridge__lambda_2': 1e-06}",-0.18729512602383994,-0.16254099919729012,-0.16460512200810132,-0.16218480028207288,-0.15629753863596907,-0.16658471722945464,0.010717992328348946,55,-0.15977116491172494,-0.16614104070852528,-0.16570306649918318,-0.16661611815443586,-0.16809303079765436,-0.16526488421430474,0.0028623365263559923,-0.07129889811352347,-0.05000865860384776,-0.05248187355487627,-0.04987393045784504,-0.04669569843171031,-0.05407181183236056,0.008807256968625039,25,-0.048894032879505285,-0.05386480204549076,-0.05323288894659551,-0.05396616384929927,-0.054862573428635306,-0.052964092229905224,0.002100347178677858,-0.2670185351497597,-0.2236261581386394,-0.22908922618682065,-0.22332471976439383,-0.21609187497846907,-0.23183010284361655,0.01807249976839808,63,-0.22111995133751564,-0.2320879187840047,-0.2307225367115131,-0.23230618555970323,-0.2342276103038139,-0.23009284053931012,0.004623522732380026,1e-07,1e-05,1e-07,1e-06
