,fit_time,score_time,test_nmae,train_nmae,test_nmse,train_nmse,test_nrmse,train_nrmse,test_rmsle,train_rmsle,test_norm_rmse,train_norm_rmse
MCHC_dt_2,3.278913736343384,0.025930166244506836,-4.798400220336701,-4.81495078889493,-36.25374298020443,-36.82294588834889,-6.021108118959867,-6.06819131935941,0.018476561629832706,0.018654358741339486,0.16043107998614303,0.16168560133670926
MCHC_dt_3,3.166210889816284,0.028922557830810547,-4.77083596177311,-4.764795691785848,-36.48966755093969,-36.28223516406779,-6.040667806703137,-6.023473679204367,0.018499566819417897,0.01852845839659761,0.15540598261738534,0.15496363578344258
MCHC_dt_4,3.318819046020508,0.028911113739013672,-4.761530828798393,-4.788987785744244,-35.98170643930852,-37.056356728073276,-5.9984753428941024,-6.087393262150333,0.018295092916039254,0.01874051887294107,0.15813413903640877,0.1604782277927541
MCV_dt_0,3.232306480407715,0.02767634391784668,-1.6231645909993757,-1.4725694207552043,-4.374465437738997,-3.4915595166174946,-2.091522277610018,-1.868571517661953,0.022488327354321557,0.020241138007593355,0.0733627467215179,0.06554247136106123
MCV_dt_1,3.2851452827453613,0.03371000289916992,-1.514222146812824,-1.5004847562055412,-3.6756809031227218,-3.635101694489311,-1.9172065363759643,-1.9065942658282886,0.02074591191040933,0.02061899348554512,0.06716645669737581,0.06679467170881186
MCV_dt_2,3.1826374530792236,0.03206300735473633,-1.4850451146188313,-1.5012883825311816,-3.5226340695688902,-3.6268196662629473,-1.8768681545513233,-1.904421084283344,0.020305961302351128,0.02055773848297883,0.06501257328745283,0.06596697536366859
MCV_dt_3,3.207061529159546,0.02167344093322754,-1.4810851120467656,-1.501748810264106,-3.5169532263367413,-3.627240817145745,-1.8753541602419372,-1.9045316529650393,0.020320363906508473,0.02055587106864896,0.06480041535984338,0.06580860553943693
MCV_dt_4,3.224822998046875,0.03832697868347168,-1.4557850393892613,-1.5133428771083062,-3.3535264134285274,-3.6877725333688334,-1.831263611124441,-1.9203573973010424,0.019877731942687226,0.020744541489141944,0.0633455015602457,0.06642735746399116
MONO_dt_0,3.293619394302368,0.02720332145690918,-0.1578415321801604,-0.1495721737592569,-0.04299265261465484,-0.03880555554620064,-0.20734669665720465,-0.19699125753748728,0.12944838551296897,0.12158029741699593,0.18022885832754962,0.17122775534343676
MONO_dt_1,3.263150215148926,0.042046308517456055,-0.1534837657345033,-0.152144175257611,-0.04073805217225378,-0.040267731925402395,-0.20183669679286217,-0.20066821354016784,0.12364879127320179,0.12417386441280538,0.16538161058798398,0.16442417497123885
MONO_dt_2,3.2127087116241455,0.022634029388427734,-0.1529469789465747,-0.15287281971899272,-0.039966694212875464,-0.040202655920545116,-0.19991671819254003,-0.2005059997120912,0.1252802756177273,0.12393958179577445,0.1757083237458521,0.17622624775416354
MONO_dt_3,3.1580872535705566,0.0369873046875,-0.14425146046668447,-0.15415286580650894,-0.03722377421300068,-0.04110821748852274,-0.1929346371520694,-0.2027516152550276,0.11981017739458093,0.1254605507668883,0.160037947868076,0.1681810633451842
MONO_dt_4,3.244462251663208,0.029768705368041992,-0.15827983399629747,-0.15058867382449964,-0.04296189490341278,-0.03941093478509658,-0.20727251362255628,-0.19852187482767883,0.12672626472121928,0.1231101917326703,0.1824824455480977,0.16940533318628592
MPV_dt_0,3.28307843208313,0.03191328048706055,-0.8683315046289298,-0.811601517313877,-1.1954010993476998,-1.033392092218681,-1.0933439986334126,-1.016558946750596,0.12064663439975465,0.1105387587931476,0.26546525317721426,0.2468217491530687
MPV_dt_1,3.288180112838745,0.02593231201171875,-0.8213881313256796,-0.8229418837053022,-1.055492622385027,-1.0649548350833278,-1.0273717060465637,-1.031966489321881,0.11205141887615788,0.11250725370139733,0.25873923014929756,0.25989640693386495
MPV_dt_2,3.239311933517456,0.032909393310546875,-0.8055728689400093,-0.8274623144492026,-1.0318589708936632,-1.0735694305587722,-1.015804592868955,-1.0361319561517115,0.11037141047720063,0.1130427493200037,0.2578519606590097,0.2630118610121704
MPV_dt_3,3.2196855545043945,0.03091740608215332,-0.8306712335198471,-0.8198742546307795,-1.0691263552423071,-1.0619733000486768,-1.033985664911418,-1.0305208877304122,0.11231866975472006,0.1124214854308159,0.25105500963696564,0.25021375071231516
MPV_dt_4,3.3417093753814697,0.029920578002929688,-0.8271874496310905,-0.8219702532869848,-1.0833844587782733,-1.061096862282445,-1.0408575593126435,-1.0300955597819288,0.1126106336750742,0.11240596750976062,0.25459240541433514,0.2519600343246714
NEUT_dt_0,3.080688714981079,0.025122642517089844,-0.5449312794224961,-0.5170929206035881,-0.4608712897509038,-0.4196886949843502,-0.6788750177690323,-0.6478338482854614,0.14473786363017627,0.13690792144326958,0.05771002417302585,0.05507126653079761
NEUT_dt_1,3.3260109424591064,0.01976943016052246,-0.5143173632326173,-0.5203053474028563,-0.4178031371978136,-0.4249855271061899,-0.6463769312079551,-0.6519091402229225,0.13278874615106376,0.13889223288073319,0.05497100727684283,0.055441492975412635
NEUT_dt_2,3.3457791805267334,0.021629810333251953,-0.5268191014575723,-0.5233522231865582,-0.4358360750581519,-0.4262836426262389,-0.6601788205161931,-0.652904007206449,0.13576836656267505,0.14038663588427952,0.056164036703739435,0.05554513941554432
NEUT_dt_3,3.218639612197876,0.02253556251525879,-0.5117574876150923,-0.522702722399777,-0.41390512265119134,-0.42935261776555195,-0.6433545854745977,-0.655250042171347,0.14665460547165007,0.13615746229395628,0.05486732742949772,0.05588180985060689
NEUT_dt_4,3.223428726196289,0.02446889877319336,-0.5292458499257772,-0.513627889670117,-0.43976110629954773,-0.4153749513069635,-0.6631448607201504,-0.6444958892863193,0.13669793654229273,0.1374497956054055,0.05668714228858802,0.05509298547636848
PLT_dt_0,3.2679131031036377,0.028926610946655273,-59.184320674646614,-54.323691634952006,-5544.970183722862,-4917.724448816894,-74.464556560305,-70.12648892406416,0.4199777483643637,0.3748236169253496,0.2061778215790632,0.19416655908831792
PLT_dt_1,3.2728958129882812,0.020943403244018555,-56.70931504226515,-54.50098618860988,-5324.152287845447,-4941.903347633375,-72.96678893747105,-70.29867244573951,0.3631087639293113,0.38023456656685156,0.18495376216670883,0.1781907102326615
PLT_dt_2,3.2230265140533447,0.02892327308654785,-55.58583518748798,-54.852979372076994,-5184.0773056496055,-4981.793318026142,-72.00053684278754,-70.58182002489127,0.3994197227516082,0.37962682227753,0.21179534954478035,0.20762208032308707
PLT_dt_3,3.3087992668151855,0.029923200607299805,-51.92137845441889,-55.707219162030974,-4538.369696231568,-5137.067325617167,-67.36742310814306,-71.67333762018598,0.36119331509982694,0.38670264701362317,0.1882944348549635,0.20032962489447836
PLT_dt_4,3.3127803802490234,0.032911062240600586,-54.52100778676459,-55.16427210879764,-5079.457772634681,-5019.335943180763,-71.27031480661974,-70.84727195298886,0.3864304330569415,0.37916847635626,0.19914132390070874,0.1979592705567973
RBC_dt_0,3.32707142829895,0.032410621643066406,-0.16842054667750397,-0.15973113077721326,-0.04546216977031744,-0.041162438486400665,-0.2132185962113001,-0.2028852840557951,0.04571072132499848,0.04080204880778104,0.05879167521475686,0.054883106124393684
RBC_dt_1,3.290170192718506,0.027926206588745117,-0.16099742218292226,-0.1617317139284639,-0.041790178697797026,-0.042065669838949556,-0.20442646281192908,-0.20509917074174033,0.04125567103110216,0.04196215139819114,0.055267503999699805,0.05590277938880094
RBC_dt_2,3.288163661956787,0.027925968170166016,-0.1605577237459655,-0.16204966927136863,-0.04144483217730998,-0.04230825334812224,-0.20358003874965241,-0.20568970160929848,0.04135025588427662,0.04194352372359949,0.05554851866177082,0.05566846959709085
RBC_dt_3,3.2921648025512695,0.03340625762939453,-0.1625580444546592,-0.1616898676361469,-0.04251889720769054,-0.041896964733435155,-0.20620110864806362,-0.20468748064655823,0.040196618198365286,0.04225151404356061,0.05693710931924977,0.055297638891283585
RBC_dt_4,3.3051834106445312,0.019064903259277344,-0.15953429221603072,-0.16255482415780478,-0.040707350072072795,-0.04269010778854396,-0.20176062567327846,-0.20661584592800222,0.04127293608779546,0.04204508292824906,0.0556780765704054,0.05563612200972989
RDW_dt_0,3.1095027923583984,0.033057212829589844,-1.3062979297651816,-1.127257898160713,-2.8661401000787845,-2.170205497808983,-1.6929678378748914,-1.4731617351156603,0.11055971533363715,0.09942478163754698,0.2461722207346383,0.21421050519774532
RDW_dt_1,3.1782708168029785,0.027145862579345703,-1.1456882247684639,-1.1719634445407192,-2.19891463078431,-2.3071982888600977,-1.4828737743935962,-1.5189464404185218,0.09975892643957604,0.10186220927754543,0.2130216786964937,0.21820368407306728
RDW_dt_2,3.240283250808716,0.03437948226928711,-1.1498648579802062,-1.1684428892903864,-2.233491276135522,-2.293670919019681,-1.4944869608449323,-1.5144870151373635,0.10054466388392672,0.10157162518131586,0.21884402482513188,0.22177271707387672
RDW_dt_3,3.1226091384887695,0.019090652465820312,-1.0738109659167836,-1.196311147797437,-1.9574283575878997,-2.3741564164971973,-1.399081254819712,-1.540829781804985,0.09592143601823735,0.10308875254109667,0.20497096225331515,0.2257376846106277
RDW_dt_4,3.1861393451690674,0.028214216232299805,-1.235550211340417,-1.1536997277618575,-2.5101129348359392,-2.2328784183527923,-1.584333593292757,-1.4942819072560547,0.10726216340436716,0.10018650145778746,0.23305883674216,0.2198120424538652
WBC_dt_0,3.6501221656799316,0.07281804084777832,-0.5813216615744157,-0.5632151702385314,-0.5380244493703746,-0.50676605089809,-0.7335014992284438,-0.7118750247747775,0.1134462334811651,0.10806035871590094,0.05377783818252022,0.05143800656106148
WBC_dt_1,3.598266124725342,0.08378267288208008,-0.5702851992248279,-0.5661674873253454,-0.5120421255030251,-0.5071199114325415,-0.7155711882845934,-0.7121235225945999,0.10366631114813019,0.10859466442883972,0.05182932426093009,0.05084308729924687
WBC_dt_2,3.3429489135742188,0.05983853340148926,-0.5711630517657502,-0.5653364143886671,-0.522486857940943,-0.5042974803630128,-0.7228325241305505,-0.7101390570606667,0.1076083425912289,0.10780363558708965,0.05240645805938258,0.050750268045203745
WBC_dt_3,3.6052236557006836,0.07581877708435059,-0.5572433790129376,-0.5701838931188181,-0.4905680402490599,-0.5164489277896451,-0.7004056255121456,-0.718643811487753,0.1104520350384959,0.11143760912215576,0.05112083394310573,0.05245199297827304
WBC_dt_4,3.3419504165649414,0.0628352165222168,-0.5846808898135776,-0.5633698969732829,-0.5534851221588193,-0.506146290141287,-0.743965807116711,-0.7114395899451246,0.11547874423843657,0.10786718134560155,0.05414706273132594,0.051779750813553446
EOS_svr_0,9.740074872970581,0.0035448074340820312,-0.04406810682575268,-0.04369834297341229,-0.0034239516606800347,-0.003336385047454812,-0.058514542300867695,-0.05776144949232846,0.050817811354673066,0.05048809294424801,0.11702908460173539,0.11552289898465692
EOS_svr_1,9.626323699951172,0.0029790401458740234,-0.04383974848028787,-0.043878575747422995,-0.0034256643390633387,-0.0033440891275475725,-0.05852917511005378,-0.05782809980924129,0.05097871200360812,0.05053394313685788,0.11705835022010756,0.11565619961848259
EOS_svr_2,9.55248236656189,0.017998933792114258,-0.04387771254145617,-0.04383247701272428,-0.0033214925847761287,-0.0033662277928701687,-0.05763239180162601,-0.05801920193237898,0.050474182353615366,0.050659128801429774,0.11526478360325201,0.11603840386475796
EOS_svr_3,9.253477573394775,0.019946575164794922,-0.04392055574367649,-0.04388410766374347,-0.003373395581627876,-0.0033559350784304,-0.058080939916877,-0.05793043309375824,0.050546280924312514,0.050677007874546466,0.116161879833754,0.11586086618751648
EOS_svr_4,9.28258991241455,0.036527395248413086,-0.04345809165607922,-0.04366745721016362,-0.003252830851415705,-0.003360683022392095,-0.057033594060130074,-0.05797139831323801,0.05035463884278631,0.050570041150384056,0.11406718812026015,0.11594279662647602
HCT_svr_0,9.629228830337524,0.011968851089477539,-0.0030758502669917132,-0.003032273465273755,-1.4551298792223006e-05,-1.3835656316243578e-05,-0.0038146164672510662,-0.003719631207020876,0.002833807239685044,0.002712040929344967,0.009814853338377455,0.009293827917290345
HCT_svr_1,8.984735012054443,0.04093790054321289,-0.0030695100899917403,-0.003086896450701426,-1.4298062414345845e-05,-1.441047961563222e-05,-0.0037812778811330233,-0.003796113751671862,0.002754536000023042,0.00277562061561185,0.009800147710099627,0.009452076062265011
HCT_svr_2,9.342521905899048,0.01952362060546875,-0.0030796384209704247,-0.003053430343492203,-1.4216766746977127e-05,-1.4113320765420724e-05,-0.003770512796288739,-0.003756769991018977,0.0027547429027293263,0.0027477973489982935,0.00938946119752467,0.009394728665824071
HCT_svr_3,9.4572274684906,0.03201127052307129,-0.0030893092298122176,-0.0030515263621812448,-1.4403803545030313e-05,-1.4066739549369571e-05,-0.0037952343201744887,-0.0037505652306511843,0.0027333230598748457,0.0027535673976817033,0.009797699185738749,0.009343920389247666
HCT_svr_4,9.343639373779297,0.03139472007751465,-0.0030315413244444093,-0.003088160189882289,-1.3848579874806074e-05,-1.4418576708060828e-05,-0.0037213680112031483,-0.0037971800995028966,0.0027387507415328853,0.002774921701970218,0.009608174489933723,0.009448627804911958
HGB_svr_0,13.40023398399353,0.01196908950805664,-0.8488476075573855,-0.7935887189171921,-1.220344703693348,-1.0395207629176952,-1.1046921307284432,-1.0195689103330363,0.010927425309515123,0.009223286296744635,0.008492245499464935,0.007500636877656723
HGB_svr_1,13.201762914657593,0.017953157424926758,-0.7921601034856558,-0.8115543026259107,-1.0248541335613437,-1.083762286607921,-1.0123507957034181,-1.0410390418269244,0.008973845867082046,0.00950777798541758,0.007967928497043092,0.007612740982926005
HGB_svr_2,13.447505474090576,0.02094292640686035,-0.8027582907296318,-0.809659144990734,-1.0521642292408457,-1.0765301474668318,-1.0257505687255775,-1.037559707904481,0.009431171740071685,0.00942847557953377,0.007669322323006969,0.00798382964539242
